评论,点赞数,用户名,评论时间和ip地址
@影子,0,摩徒,9小时前·黑龙江
猴哥，多介绍优质的国产车，当然前提是优质！,1,早安隆回Nics,9小时前·湖南
多少钱,2,用户84406435,9小时前·浙江
终于看到一款内饰不一样的沃尔沃了,1,黄一,9小时前·江苏
这个高级灰确实高级,1,洁洁洁 洁子,9小时前·山东
听介绍很给力，非常喜欢，谢谢推荐！,1,可可爱爱,9小时前·四川
这前脸咋看着有点不协调,1,北平青年,9小时前·北京
什么沃尔沃，吉利！,2,米陶,8小时前·浙江
咬牙，眨眼，咬牙，眨眼,0,糊涂→在路上,8小时前·河南
是不是我们大庆拧的螺丝,1,Pyh字漱铭,7小时前·黑龙江
只要给钱啥都好,1,远方,7小时前·河北
不买电车,1,奔跑的蜗牛,7小时前·江西
十几万？,2,驾驶人生,7小时前·内蒙古
6小时前·陕西,0,听雨,6小时前·陕西
这个车和大众的电车同款丑的不行，我都试过了，就是丑,2,陈家公子,6小时前·广东
怎么又给我推送这个胖子！已经列为不感兴趣了,1,永远自由的心,6小时前·上海
那gs8你不说说？,7,、賀大人a,6天前·陕西
区长，羊驼，再加上猴哥已经是我连续第三个刷到ex90了,20,过眼云烟,6天前·陕西
大灯，羊绒座椅是亮点，其他设计没啥能打动我的,2,专业批发搓澡巾,6天前·辽宁
为什么电车的功能和配置油车没有，而且质量和型壮都不一样,2,青.涩,6天前·贵州
一台50万推广,310,hehe,6天前·福建
沃尔沃一直都是中老年人在开。特别现在老款都是中老年人开,1,新,6天前·福建
6天前·福建,2,宇轩。,6天前·福建
电车我只选比亚迪，不要问我为什么,1511,Mis舒,6天前·湖南
沃尔沃什么时候把中控屏做成横屏的就会大卖,0,泓宇浩瀚,6天前·湖北
心动的电动车+10086!,58,rxy,6天前·湖北
你要不小心碰到一个大灯，换一个大灯，能要你的小命,2,文艺亮(?ω?),6天前·湖北
师徒四人，怎么天天就看见你了？,2,悦悦吖,6天前·湖北
我90年的、开的奔驰E300L顶配的，目前两套房子，4间铺面。我老婆66岁，女儿比我大3岁,2,利隆涂料有限公司,6天前·海南
猴哥，虎哥，八戒，三大说车博主一起发布了沃尔沃ex90，沃尔沃这是下血本了,384,小情绪，,6天前·浙江
XC90五十万，EX90会低于50万吗?,7,啊春,6天前·浙江
每一个博主都是念一样的台词。开了多少钱呀？,13,大梦初觉,6天前·浙江
毒辣车评，震哥，然后，你也发出来了。嗯！不错,5,你得努力。,6天前·浙江
跟领克08一样,2,浙江省绍兴市欣淏通风设备有限公司,6天前·浙江
看了虎哥又看猴哥 感觉没啥意思,2,凌晨,6天前·浙江
这么好得车违章扣分不,2,@骑在狼上的杨,6天前·河南
6天前·河南,2,淑贞,6天前·河南
这个个理想l8款型差不多,2,建哥(木模，铝膜四项),6天前·河南
车评人刷到一遍,2,王国鹏,6天前·河南
沃尔沃都没有便宜的车,2,随风,6天前·河南
今天，有名的车评人集体撞车了，钱很到位，车的确也很好。,16,念念时光,6天前·河北
说价格吧,2,追逐,6天前·河北
全网你挣钱我最不眼红,79,那年那月那个夏天,6天前·江西
[爱慕][爱慕][爱慕],0,禧福人生方正南,6天前·江苏
猴哥你瘦了,17,吴江汤大少,6天前·江苏
作者,17,猴哥说车,6天前·江苏
时尚霸气，内饰豪华，空间宽松，动力強劲,94,、陈腊生,6天前·江苏
续航呢，最重要的续航,2,C.Y.H,6天前·江苏
7座只服唐,2,-.-,6天前·江苏
挂链接。。。,2,边走边爱,6天前·江苏
要不要五万块钱,2,独孤求败,6天前·江苏
猴哥太专业了,2,花里胡嘈,6天前·江苏
车在抛媚眼，猴哥在勾引！,2,朋友的酒,6天前·江苏
胖哥，在那能买到,2,铜人雷神,6天前·新疆
我丢 看完虎哥的 看猴哥 之后又看到了八戒的 就差沙师弟了！,2,王心凌.,6天前·广西
是我妹夫的车,2,南宁鸿鑫汽车贸易,6天前·广西
猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,628,莹 莹,6天前·广东
这应该是他的第二台纯电车型吧，前一台XC60不是纯电的咯,35,Johannes（DJ·kanon学生）,6天前·广东
猴哥 你瘦了吗。这车真不错哦,2,宝儿爱追剧,6天前·广东
同一个场景十几个车评人轮流上？,2,小小的太阳,6天前·广东
这个车花了多少钱来请车评人，今天刷到几十个了,2,埃隆马赛克,6天前·广东
虎哥说雷达距离600米呀，你说少了，还是他说假了,2,小刘,6天前·广东
沃尔沃这台车全网车评人都充值了吧，每个车评人都在猛推,2,没有人是多余的,6天前·广东
前脸做轿车好看,2,深情的阿黎,6天前·广东
猴哥车跟你一样帅，杠杠的,2,黄桥,6天前·广东
你跟虎哥撞车了,29,嘴巴嘟嘟嘟,6天前·山西
刚看完震哥，八戒，又刷到猴哥,2619,? ???????,6天前·山东
这是所有的骑车大博主都被充值了啊,2,温饱哥,6天前·山东
为啥纯电的车头都不大气,2,壹蓑烟雨任平生,6天前·山东
这外观真是接受不了，他的油车挺好看，改成电动完全没感觉了，这前面完全失去了灵魂,17,YOUN-,6天前·安徽
