,评论,点赞数,用户名,评论时间和ip地址,预测值,评价类别,ip地址,评论时间
216,预估90个W,9,青 龍,5天前·广东,0.023081916549352877,无意向,广东,2023-04-30 22:22:11
275,沃尔沃EX90国内首发 ，猴哥你好，他们叫我来问一下你，可不可以把阿张介绍给我,2,汤圆媽媽,5天前·安徽,0.18697503607339583,无意向,安徽,2023-04-30 22:22:11
523,9块9包邮不,0,橙子?,2天前·新疆,0.01113680989809751,无意向,新疆,2023-05-03 22:22:11
525,一个冰淇淋干倒了BMW,0,阿军（手机摄影）,2天前·广东,0.1475167155827567,无意向,广东,2023-05-03 22:22:11
271,这多少钱,5,不爱说真话的彭先生,5天前·安徽,0.2991169977924947,无意向,安徽,2023-04-30 22:22:11
270,海外低配六十多，囯内是不是上百了,5,S you,5天前·安徽,0.4954750359237202,无意向,安徽,2023-04-30 22:22:11
526,沃尔沃汽车,0,明天的视界,2天前·广东,0.30562620925372896,无意向,广东,2023-05-03 22:22:11
267,还是得看掏钥匙 开箱那位,8,kkkkkkkr,5天前·安徽,0.19594164981422502,无意向,安徽,2023-04-30 22:22:11
266,车做的再好也没用，关键是价格亲民，才是王道，别的都是在耍流氓,7,大海44652611,5天前·安徽,0.06447584435301545,无意向,安徽,2023-04-30 22:22:11
276,多少钱,2,S you,5天前·安徽,0.2991169977924947,无意向,安徽,2023-04-30 22:22:11
264,我不关注，我肯定买不起,2,天涯海角有穷时,5天前·山东,0.3684939681965167,无意向,山东,2023-04-30 22:22:11
262,还有区长竟然也被充值了。,2,LRC.,5天前·山东,0.1822935693296739,无意向,山东,2023-04-30 22:22:11
530,这车多钱了,1,到,2天前·山西,0.26405430624319237,无意向,山西,2023-05-03 22:22:11
259,为啥沃尔沃哪款车型都不低于20w,2,今天不想上班,5天前·山东,0.0023895177258604905,无意向,山东,2023-04-30 22:22:11
256,沃尔沃不该把蓝色车标改成黑色的,5,JFeng,5天前·山东,0.40187423239273434,无意向,山东,2023-04-30 22:22:11
534,2天前·四川,1,双木冖车,2天前·四川,0.16869158583739796,无意向,四川,2023-05-03 22:22:11
254,竖屏不好看,6,漫步.青岛,5天前·山东,0.2726341781568754,无意向,山东,2023-04-30 22:22:11
535,2天前·四川,0,晨曦之光,2天前·四川,0.16869158583739796,无意向,四川,2023-05-03 22:22:11
250,终极小腾说价格比了个七，可能七十,2,辣椒炒肉,5天前·山东,0.4260809271314252,无意向,山东,2023-04-30 22:22:11
529,就好奇修个灯是不是跟奥迪一样小几万没了,1,麦田捕手,2天前·广东,0.23983404492221683,无意向,广东,2023-05-03 22:22:11
522,车评人都在排队拍摄吗,1,太湖之滨～冰雨,2天前·江苏,0.2627727727121286,无意向,江苏,2023-05-03 22:22:11
278,它喝几号油,2,晨光,5天前·安徽,0.4009745574503534,无意向,安徽,2023-04-30 22:22:11
279,这不是眼这是牙,8,游龙,5天前·天津,0.12420525644979674,无意向,天津,2023-04-30 22:22:11
507,冰淇淋事件百分之98的车评人都是等了这阵风过去了才会出来说两句,0,小白逛重庆,2天前·重庆,0.07750523903317219,无意向,重庆,2023-05-03 22:22:11
303,gs8的大灯还是会,6,零,5天前·北京,0.28491889728176123,无意向,北京,2023-04-30 22:22:11
509,2天前·贵州,0,勇哥＆,2天前·贵州,0.2592823867447467,无意向,贵州,2023-05-03 22:22:11
510,感觉现在随便个电车都吊打比亚迪啊,0,皮皮康鸭,2天前·湖北,0.09249311986584718,无意向,湖北,2023-05-03 22:22:11
298,20万交个朋友行不行,2,山,5天前·吉林,0.22758639739343078,无意向,吉林,2023-04-30 22:22:11
297,一个场地，全国的车评人都门口排队录像,8,谷宇的谷,5天前·吉林,0.022307988818261903,无意向,吉林,2023-04-30 22:22:11
296,同一个地方不同博主,17,WQH,5天前·吉林,0.27692414159026,无意向,吉林,2023-04-30 22:22:11
513,1月11日,1,带我走,2天前·河南,0.04706583190815783,无意向,河南,2023-05-03 22:22:11
294,说车不说价点赞少一半,5,胖胖的稣然,5天前·吉林,0.08560010350976843,无意向,吉林,2023-04-30 22:22:11
292,发布日开始，全网车评人都在赞这车。这波营销，烧钱呀,2,彩钢板.耐力板.,5天前·四川,0.0800496519173326,无意向,四川,2023-04-30 22:22:11
515,新能源车最好还是买品牌的，像奔驰，宝马，奥迪，保时捷，大众等新能源杂牌最好不要碰了,1,朕在努力,2天前·河南,0.007993406175959894,无意向,河南,2023-05-03 22:22:11
290,有一个车评人说的识别600米外，你说250米,2,，,5天前·四川,0.06089682627303716,无意向,四川,2023-04-30 22:22:11
289,5天前·四川,2,有多少爱可以重来,5天前·四川,0.2586695333751592,无意向,四川,2023-04-30 22:22:11
